"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с невалидными кредами","209","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:03:25 UTC 2026","passed","Sun May 24 18:03:26 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","negativeLogin"
"Проверка локаторов Selenium","572","Проверка локаторов Selenium","Sauce Demo","Sun May 24 18:02:58 UTC 2026","passed","Sun May 24 18:02:58 UTC 2026","tests.LocatorTest","Chrome Tests","tests.LocatorTest","checkLocator"
"Проверка удаления товара из корзины","10676","Проверка удаления товара из корзины","Sauce Demo","Sun May 24 18:03:32 UTC 2026","passed","Sun May 24 18:03:42 UTC 2026","tests.RemoveItemFromCart","Firefox Tests","tests.RemoveItemFromCart","removeItemFromCart"
"Проверка входа в систему с невалидными кредами","208","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:03:24 UTC 2026","passed","Sun May 24 18:03:25 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","negativeLogin"
"Проверка входа в систему с невалидными кредами","235","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:03:57 UTC 2026","passed","Sun May 24 18:03:57 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","negativeLogin"
"Проверка входа в систему с невалидными кредами","399","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:03:49 UTC 2026","passed","Sun May 24 18:03:50 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","negativeLogin"
"Проверка отображения пустой корзины","10130","Проверка отображения пустой корзины","Sauce Demo","Sun May 24 18:03:18 UTC 2026","passed","Sun May 24 18:03:29 UTC 2026","tests.GoToEmptyCart","Firefox Tests","tests.GoToEmptyCart","checkEmptyCart"
"Проверка отображения пустой корзины","10131","Проверка отображения пустой корзины","Sauce Demo","Sun May 24 18:02:59 UTC 2026","passed","Sun May 24 18:03:09 UTC 2026","tests.GoToEmptyCart","Chrome Tests","tests.GoToEmptyCart","checkEmptyCart"
"Проверка входа в систему с невалидными кредами","214","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:03:23 UTC 2026","passed","Sun May 24 18:03:24 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","negativeLogin"
"Проверка входа в систему с невалидными кредами","423","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:03:53 UTC 2026","passed","Sun May 24 18:03:53 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","negativeLogin"
"Проверка добавления товара в корзину","418","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:02:56 UTC 2026","passed","Sun May 24 18:02:57 UTC 2026","tests.AddToCartTest","Chrome Tests","tests.AddToCartTest","testCartFlow"
"Проверка входа в систему с валидными кредами","487","Проверка входа в систему с валидными кредами","Sauce Demo","Sun May 24 18:03:46 UTC 2026","passed","Sun May 24 18:03:46 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка добавления товара в корзину","879","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:03:10 UTC 2026","passed","Sun May 24 18:03:11 UTC 2026","tests.AddToCartTest","Firefox Tests","tests.AddToCartTest","testCartFlow"
"Проверка локаторов Selenium","748","Проверка локаторов Selenium","Sauce Demo","Sun May 24 18:03:15 UTC 2026","passed","Sun May 24 18:03:15 UTC 2026","tests.LocatorTest","Firefox Tests","tests.LocatorTest","checkLocator"
"Проверка добавления товара в корзину","438","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:02:55 UTC 2026","passed","Sun May 24 18:02:56 UTC 2026","tests.AddToCartTest","Chrome Tests","tests.AddToCartTest","testCartFlow"
"Проверка добавления товара в корзину","694","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:03:06 UTC 2026","passed","Sun May 24 18:03:07 UTC 2026","tests.AddToCartTest","Firefox Tests","tests.AddToCartTest","testCartFlow"
"Проверка входа в систему с валидными кредами","241","Проверка входа в систему с валидными кредами","Sauce Demo","Sun May 24 18:03:22 UTC 2026","passed","Sun May 24 18:03:22 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка удаления товара из корзины","10585","Проверка удаления товара из корзины","Sauce Demo","Sun May 24 18:03:11 UTC 2026","passed","Sun May 24 18:03:21 UTC 2026","tests.RemoveItemFromCart","Chrome Tests","tests.RemoveItemFromCart","removeItemFromCart"
"Проверка добавления товара в корзину","476","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:03:02 UTC 2026","passed","Sun May 24 18:03:03 UTC 2026","tests.AddToCartTest","Firefox Tests","tests.AddToCartTest","testCartFlow"
"Проверка добавления товара в корзину","531","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:02:54 UTC 2026","passed","Sun May 24 18:02:54 UTC 2026","tests.AddToCartTest","Chrome Tests","tests.AddToCartTest","testCartFlow"
